"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2021","15,154.20","15,326.23","15,329.72","15,085.02","80.11M","-0.90%"
"Apr 28, 2021","15,292.18","15,320.40","15,355.28","15,266.61","79.61M","0.28%"
"Apr 27, 2021","15,249.27","15,282.84","15,293.89","15,186.76","54.51M","-0.31%"
"Apr 26, 2021","15,296.34","15,297.93","15,325.89","15,237.02","49.12M","0.11%"
"Apr 23, 2021","15,279.62","15,267.76","15,309.09","15,149.35","57.80M","-0.27%"
"Apr 22, 2021","15,320.52","15,252.04","15,328.33","15,230.20","59.63M","0.82%"
"Apr 21, 2021","15,195.97","15,179.91","15,210.69","15,071.78","67.08M","0.44%"
"Apr 20, 2021","15,129.51","15,361.15","15,393.13","15,109.54","76.22M","-1.55%"
"Apr 19, 2021","15,368.39","15,496.87","15,501.84","15,368.14","61.84M","-0.59%"
"Apr 16, 2021","15,459.75","15,277.85","15,473.83","15,274.22","82.76M","1.34%"
"Apr 15, 2021","15,255.33","15,238.63","15,271.69","15,227.63","61.83M","0.30%"
"Apr 14, 2021","15,209.15","15,253.59","15,255.92","15,191.51","66.67M","-0.17%"
"Apr 13, 2021","15,234.36","15,244.62","15,281.65","15,184.95","62.44M","0.13%"
"Apr 12, 2021","15,215.00","15,238.85","15,275.33","15,212.24","53.65M","-0.13%"
"Apr 09, 2021","15,234.16","15,198.14","15,243.56","15,157.21","56.87M","0.21%"
"Apr 08, 2021","15,202.68","15,236.44","15,247.78","15,144.11","68.86M","0.17%"
"Apr 07, 2021","15,176.36","15,221.23","15,242.73","15,160.28","59.12M","-0.24%"
"Apr 06, 2021","15,212.68","15,289.97","15,311.86","15,209.90","79.48M","0.70%"
"Apr 01, 2021","15,107.17","15,053.77","15,110.92","15,032.52","67.89M","0.66%"
"Mar 31, 2021","15,008.34","14,982.12","15,026.49","14,973.59","76.06M","-0.00%"
"Mar 30, 2021","15,008.61","14,897.66","15,029.70","14,890.28","71.17M","1.29%"
"Mar 29, 2021","14,817.72","14,809.80","14,845.42","14,756.04","71.11M","0.47%"
"Mar 26, 2021","14,748.94","14,714.59","14,776.32","14,693.94","67.17M","0.87%"
"Mar 25, 2021","14,621.36","14,550.40","14,621.36","14,422.65","80.10M","0.08%"
"Mar 24, 2021","14,610.39","14,543.58","14,619.04","14,523.12","65.08M","-0.35%"
"Mar 23, 2021","14,662.02","14,582.07","14,707.37","14,516.22","73.30M","0.03%"
"Mar 22, 2021","14,657.21","14,551.17","14,677.12","14,539.27","66.13M","0.25%"
"Mar 19, 2021","14,621.00","14,697.26","14,747.56","14,563.21","207.44M","-1.05%"
"Mar 18, 2021","14,775.52","14,673.72","14,804.01","14,669.95","104.69M","1.23%"
"Mar 17, 2021","14,596.61","14,565.29","14,601.63","14,539.70","75.96M","0.27%"
"Mar 16, 2021","14,557.58","14,519.72","14,601.79","14,511.30","71.43M","0.66%"
"Mar 15, 2021","14,461.42","14,504.49","14,572.24","14,409.35","62.77M","-0.28%"
"Mar 12, 2021","14,502.39","14,492.45","14,527.42","14,450.72","69.10M","-0.46%"
"Mar 11, 2021","14,569.39","14,553.54","14,595.02","14,515.07","74.07M","0.20%"
"Mar 10, 2021","14,540.25","14,439.45","14,560.97","14,408.52","95.72M","0.71%"
"Mar 09, 2021","14,437.94","14,345.51","14,475.65","14,309.35","107.88M","0.40%"
"Mar 08, 2021","14,380.91","14,024.57","14,402.92","13,977.13","109.07M","3.31%"
"Mar 05, 2021","13,920.69","13,958.54","14,068.03","13,868.20","89.79M","-0.97%"
"Mar 04, 2021","14,056.34","14,015.44","14,095.81","13,959.27","84.62M","-0.17%"
"Mar 03, 2021","14,080.03","14,130.86","14,197.49","13,979.73","84.77M","0.29%"
"Mar 02, 2021","14,039.80","13,962.07","14,101.79","13,961.62","63.31M","0.19%"
"Mar 01, 2021","14,012.82","13,962.43","14,022.02","13,873.83","69.57M","1.64%"
"Feb 26, 2021","13,786.29","13,685.80","13,881.26","13,673.07","104.07M","-0.67%"
"Feb 25, 2021","13,879.33","14,045.02","14,051.01","13,879.17","95.43M","-0.69%"
"Feb 24, 2021","13,976.00","13,855.85","13,998.30","13,855.85","68.92M","0.80%"
"Feb 23, 2021","13,864.81","13,984.98","13,989.24","13,664.71","88.19M","-0.61%"
"Feb 22, 2021","13,950.04","13,858.56","13,975.08","13,802.55","66.04M","-0.31%"
"Feb 19, 2021","13,993.23","13,941.40","14,026.18","13,892.72","72.97M","0.77%"
"Feb 18, 2021","13,886.93","13,926.84","13,961.05","13,853.77","67.92M","-0.16%"
"Feb 17, 2021","13,909.27","14,028.10","14,036.95","13,894.06","81.27M","-1.10%"
"Feb 16, 2021","14,064.60","14,105.13","14,130.74","14,049.98","58.66M","-0.32%"
"Feb 15, 2021","14,109.48","14,109.07","14,131.21","14,074.25","49.90M","0.42%"
"Feb 12, 2021","14,049.89","13,976.13","14,050.96","13,916.73","57.70M","0.06%"
"Feb 11, 2021","14,040.91","13,958.39","14,053.06","13,916.63","53.85M","0.77%"
"Feb 10, 2021","13,932.97","14,063.12","14,063.12","13,830.12","67.41M","-0.56%"
"Feb 09, 2021","14,011.80","14,055.60","14,061.61","13,962.14","58.41M","-0.34%"
"Feb 08, 2021","14,059.91","14,156.84","14,169.49","14,056.55","61.53M","0.02%"
"Feb 05, 2021","14,056.72","14,061.69","14,114.44","14,013.13","76.25M","-0.03%"
"Feb 04, 2021","14,060.29","13,971.94","14,069.89","13,955.70","83.87M","0.91%"
"Feb 03, 2021","13,933.63","13,986.72","13,988.15","13,866.39","82.15M","0.71%"
"Feb 02, 2021","13,835.16","13,724.12","13,844.94","13,693.93","78.71M","1.56%"
"Feb 01, 2021","13,622.02","13,559.94","13,648.05","13,518.45","65.32M","1.41%"
"Jan 29, 2021","13,432.87","13,474.20","13,593.03","13,403.74","103.42M","-1.71%"
"Jan 28, 2021","13,665.93","13,500.64","13,698.54","13,310.95","90.78M","0.33%"
"Jan 27, 2021","13,620.46","13,827.47","13,851.84","13,475.03","105.22M","-1.81%"
"Jan 26, 2021","13,870.99","13,687.39","13,925.73","13,670.23","79.51M","1.66%"
"Jan 25, 2021","13,643.95","13,943.96","13,946.85","13,599.78","77.57M","-1.66%"
"Jan 22, 2021","13,873.97","13,858.05","13,897.73","13,744.26","74.57M","-0.24%"
"Jan 21, 2021","13,906.67","13,997.78","14,026.35","13,878.84","63.25M","-0.11%"
"Jan 20, 2021","13,921.37","13,848.77","13,952.20","13,835.99","65.21M","0.77%"
"Jan 19, 2021","13,815.06","13,935.93","13,940.05","13,804.46","64.90M","-0.24%"
"Jan 18, 2021","13,848.35","13,701.98","13,850.40","13,701.74","49.83M","0.44%"
"Jan 15, 2021","13,787.73","13,904.30","13,958.16","13,672.67","96.85M","-1.44%"
"Jan 14, 2021","13,988.70","13,973.77","14,030.22","13,942.88","75.54M","0.35%"
"Jan 13, 2021","13,939.71","13,899.06","13,978.43","13,868.83","70.60M","0.11%"
"Jan 12, 2021","13,925.06","13,985.89","13,999.57","13,871.44","75.79M","-0.08%"
"Jan 11, 2021","13,936.66","13,986.42","14,007.65","13,806.69","67.15M","-0.80%"
"Jan 08, 2021","14,049.53","14,106.60","14,131.52","14,007.71","79.82M","0.58%"
"Jan 07, 2021","13,968.24","13,946.53","14,007.47","13,902.24","86.10M","0.55%"
"Jan 06, 2021","13,891.97","13,687.08","13,919.23","13,617.11","92.50M","1.76%"
"Jan 05, 2021","13,651.22","13,680.69","13,768.13","13,566.47","68.90M","-0.55%"
"Jan 04, 2021","13,726.74","13,890.22","13,907.13","13,647.79","70.21M","0.06%"
"Dec 30, 2020","13,718.78","13,750.99","13,797.09","13,717.47","28.32M","-0.31%"
"Dec 29, 2020","13,761.38","13,873.35","13,903.11","13,747.08","43.16M","-0.21%"
"Dec 28, 2020","13,790.29","13,779.05","13,818.65","13,740.21","49.25M","1.49%"
"Dec 23, 2020","13,587.23","13,456.63","13,601.71","13,456.63","48.73M","1.26%"
"Dec 22, 2020","13,418.11","13,311.02","13,441.59","13,310.42","54.62M","1.30%"
"Dec 21, 2020","13,246.30","13,398.22","13,399.99","13,060.34","98.29M","-2.82%"
"Dec 18, 2020","13,630.51","13,649.66","13,774.45","13,624.25","156.77M","-0.27%"
"Dec 17, 2020","13,667.25","13,691.49","13,725.84","13,649.53","77.21M","0.75%"
"Dec 16, 2020","13,565.98","13,416.29","13,596.74","13,412.41","77.80M","1.52%"
"Dec 15, 2020","13,362.87","13,216.49","13,374.96","13,210.15","67.27M","1.06%"
"Dec 14, 2020","13,223.16","13,224.26","13,292.30","13,190.53","63.02M","0.83%"
"Dec 11, 2020","13,114.30","13,255.24","13,265.61","13,009.48","82.14M","-1.36%"
"Dec 10, 2020","13,295.73","13,341.68","13,370.44","13,213.06","68.81M","-0.33%"
"Dec 09, 2020","13,340.26","13,344.14","13,454.13","13,327.87","77.31M","0.47%"
"Dec 08, 2020","13,278.49","13,248.02","13,297.49","13,199.45","54.20M","0.06%"
"Dec 07, 2020","13,271.00","13,255.78","13,289.43","13,163.26","54.32M","-0.21%"
"Dec 04, 2020","13,298.96","13,230.61","13,315.37","13,225.08","64.07M","0.35%"
"Dec 03, 2020","13,252.86","13,304.83","13,307.54","13,223.93","64.31M","-0.45%"
"Dec 02, 2020","13,313.24","13,341.91","13,359.27","13,272.47","63.82M","-0.52%"
"Dec 01, 2020","13,382.30","13,371.66","13,434.30","13,334.99","66.68M","0.69%"
"Nov 30, 2020","13,291.16","13,270.51","13,445.11","13,256.76","107.37M","-0.33%"
"Nov 27, 2020","13,335.68","13,280.51","13,364.17","13,272.74","63.82M","0.37%"
"Nov 26, 2020","13,286.57","13,315.21","13,316.19","13,274.89","42.95M","-0.02%"
"Nov 25, 2020","13,289.80","13,346.77","13,346.96","13,235.82","76.83M","-0.02%"
"Nov 24, 2020","13,292.44","13,254.42","13,296.76","13,192.32","82.73M","1.26%"
"Nov 23, 2020","13,126.97","13,215.44","13,312.42","13,126.97","68.58M","-0.08%"
"Nov 20, 2020","13,137.25","13,054.64","13,172.91","13,054.64","70.13M","0.39%"
"Nov 19, 2020","13,086.16","13,101.71","13,138.14","13,034.51","68.04M","-0.88%"
"Nov 18, 2020","13,201.89","13,086.43","13,213.63","13,074.67","67.64M","0.52%"
"Nov 17, 2020","13,133.47","13,130.54","13,151.02","13,050.41","68.59M","-0.04%"
"Nov 16, 2020","13,138.61","13,170.52","13,277.45","13,081.11","85.19M","0.47%"
"Nov 13, 2020","13,076.72","13,036.97","13,145.48","13,004.82","79.17M","0.18%"
"Nov 12, 2020","13,052.95","13,073.48","13,168.09","13,022.28","82.37M","-1.24%"
"Nov 11, 2020","13,216.18","13,205.95","13,244.32","13,138.76","95.53M","0.40%"
"Nov 10, 2020","13,163.11","13,109.77","13,237.59","13,018.43","142.55M","0.51%"
"Nov 09, 2020","13,095.97","12,713.19","13,297.05","12,670.58","189.27M","4.94%"
"Nov 06, 2020","12,480.02","12,531.74","12,595.87","12,370.08","80.48M","-0.70%"
"Nov 05, 2020","12,568.09","12,420.88","12,591.30","12,398.59","87.08M","1.98%"
"Nov 04, 2020","12,324.22","11,896.11","12,329.96","11,848.21","105.44M","1.95%"
"Nov 03, 2020","12,088.98","11,858.81","12,088.98","11,851.03","86.77M","2.59%"
"Nov 02, 2020","11,784.10","11,644.15","11,833.55","11,546.20","-","1.97%"
"Oct 30, 2020","11,556.48","11,472.61","11,614.13","11,450.08","85.60M","-0.36%"
"Oct 29, 2020","11,598.07","11,631.07","11,707.43","11,458.56","104.96M","0.32%"
"Oct 28, 2020","11,560.51","11,848.31","11,852.02","11,457.12","137.19M","-4.17%"
"Oct 27, 2020","12,063.57","12,206.42","12,223.60","12,034.80","87.41M","-0.93%"
"Oct 26, 2020","12,177.18","12,303.41","12,404.51","12,174.22","81.60M","-3.71%"
"Oct 23, 2020","12,645.75","12,517.98","12,718.27","12,514.99","55.67M","0.82%"
"Oct 22, 2020","12,543.06","12,429.41","12,583.02","12,345.45","59.74M","-0.12%"
"Oct 21, 2020","12,557.64","12,764.45","12,765.05","12,545.59","62.62M","-1.41%"
"Oct 20, 2020","12,736.95","12,819.15","12,850.29","12,725.45","61.47M","-0.92%"
"Oct 19, 2020","12,854.66","12,948.63","13,028.73","12,820.26","48.58M","-0.42%"
"Oct 16, 2020","12,908.99","12,773.35","12,955.86","12,733.06","76.57M","1.62%"
"Oct 15, 2020","12,703.75","12,826.13","12,839.55","12,599.82","78.93M","-2.49%"
"Oct 14, 2020","13,028.06","13,012.69","13,066.44","12,975.12","52.93M","0.07%"
"Oct 13, 2020","13,018.99","13,132.90","13,132.90","12,959.70","52.84M","-0.91%"
"Oct 12, 2020","13,138.41","13,086.06","13,151.80","13,058.34","48.91M","0.67%"
"Oct 09, 2020","13,051.23","13,070.04","13,096.44","13,009.98","58.95M","0.07%"
"Oct 08, 2020","13,042.21","13,011.23","13,100.85","12,956.64","64.01M","0.88%"
"Oct 07, 2020","12,928.57","12,901.29","12,959.02","12,837.11","65.53M","0.17%"
"Oct 06, 2020","12,906.02","12,858.97","12,966.09","12,779.65","60.57M","0.61%"
"Oct 05, 2020","12,828.31","12,824.05","12,842.48","12,727.75","56.73M","1.10%"
"Oct 02, 2020","12,689.04","12,558.78","12,690.25","12,539.86","67.30M","-0.33%"
"Oct 01, 2020","12,730.77","12,812.08","12,836.65","12,671.23","87.11M","-0.23%"
"Sep 30, 2020","12,760.73","12,754.77","12,869.96","12,698.42","70.30M","-0.51%"
"Sep 29, 2020","12,825.82","12,817.79","12,859.14","12,738.30","49.84M","-0.35%"
"Sep 28, 2020","12,870.87","12,673.73","12,873.40","12,660.15","72.43M","3.22%"
"Sep 25, 2020","12,469.20","12,615.91","12,622.77","12,341.58","66.13M","-1.09%"
"Sep 24, 2020","12,606.57","12,520.47","12,684.80","12,512.50","61.27M","-0.29%"
"Sep 23, 2020","12,642.97","12,737.32","12,830.70","12,642.97","60.24M","0.39%"
"Sep 22, 2020","12,594.39","12,629.71","12,698.12","12,592.97","69.46M","0.41%"
"Sep 21, 2020","12,542.44","12,998.90","12,998.90","12,505.16","119.64M","-4.37%"
"Sep 18, 2020","13,116.25","13,210.86","13,263.44","13,116.25","185.86M","-0.70%"
"Sep 17, 2020","13,208.12","13,060.18","13,245.87","13,035.94","55.91M","-0.36%"
"Sep 16, 2020","13,255.37","13,224.16","13,277.23","13,181.56","62.42M","0.29%"
"Sep 15, 2020","13,217.67","13,220.81","13,262.81","13,138.20","60.48M","0.18%"
"Sep 14, 2020","13,193.66","13,329.61","13,339.14","13,159.72","49.24M","-0.07%"
"Sep 11, 2020","13,202.84","13,198.74","13,255.47","13,117.46","57.03M","-0.05%"
"Sep 10, 2020","13,208.89","13,265.51","13,297.71","13,161.93","56.81M","-0.21%"
"Sep 09, 2020","13,237.21","12,990.52","13,257.54","12,973.46","73.66M","2.07%"
"Sep 08, 2020","12,968.33","13,126.23","13,147.52","12,856.55","72.30M","-1.01%"
"Sep 07, 2020","13,100.28","12,931.40","13,117.61","12,920.92","54.82M","2.01%"
"Sep 04, 2020","12,842.66","12,916.12","13,127.08","12,753.69","94.28M","-1.65%"
"Sep 03, 2020","13,057.77","13,354.72","13,460.46","13,004.83","81.70M","-1.40%"
"Sep 02, 2020","13,243.43","13,071.66","13,303.17","13,062.17","80.77M","2.07%"
"Sep 01, 2020","12,974.25","13,037.20","13,127.28","12,850.30","63.05M","0.22%"
"Aug 31, 2020","12,945.38","13,103.93","13,148.19","12,923.76","59.56M","-0.67%"
"Aug 28, 2020","13,033.20","13,140.60","13,147.24","12,951.26","63.77M","-0.48%"
"Aug 27, 2020","13,096.36","13,206.58","13,218.05","13,087.37","53.03M","-0.71%"
"Aug 26, 2020","13,190.15","13,041.83","13,192.32","13,010.53","46.70M","0.98%"
"Aug 25, 2020","13,061.62","13,136.77","13,221.82","13,060.87","55.97M","-0.04%"
"Aug 24, 2020","13,066.54","12,945.97","13,104.31","12,924.70","64.18M","2.36%"
"Aug 21, 2020","12,764.80","12,879.45","12,911.27","12,633.71","72.00M","-0.51%"
"Aug 20, 2020","12,830.00","12,829.39","12,891.14","12,755.52","54.74M","-1.14%"
"Aug 19, 2020","12,977.33","12,838.63","12,980.70","12,833.80","52.63M","0.74%"
"Aug 18, 2020","12,881.76","12,836.87","13,052.84","12,807.00","56.72M","-0.30%"
"Aug 17, 2020","12,920.66","12,924.88","12,960.84","12,847.85","44.40M","0.15%"
